Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
41,Abakan-Avia,\n,,ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,\n,M3,TUS,ABSA Cargo,Brazil,Y
43,Abaet,\n,,ABJ,Abaet,Brazil,N
44,Alberta Citylink,\n,,ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,\n,,ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,\n,,ABU,AEROBUENO,Colombia,N
47,Aerocenter,\n,,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,\n,4,ABV,ANTRAK,Ghana,N
49,Airborne Express,\n,GB,ABX,ABEX,United States,N
50,ABX Air,\n,GB,ABX,ABEX,United States,N
51,ATA Brasil,\n,,ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,\n,,ACC,,United Kingdom,N
53,Academy Airlines,\n,,ACD,ACADEMY,United States,N
54,Aero Comondu,\n,,ACO,AERO COMONDU,Mexico,N
55,Astral Aviation,\n,8V,ACP,ASTRAL CARGO,Kenya,Y
56,Air Cess,\n,,ACS,,Liberia,N
57,Air Aurora,\n,,AAI,BOREALIS,United States,N
58,Air Cargo Transportation System,\n,,ACU,AFRISPIRIT,Kenya,N
59,Air Charter Service,\n,,ACV,,United Kingdom,N
60,Aero Asia International,\n,E4,RSO,AERO ASIA,Pakistan,N
61,Air Charters,\n,,ACX,PARAIR,Canada,N
62,Air Togo,\n,YT,TGA,AIR TOGO,Togo,N
63,Air Somalia,\n,,RSM,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,\n,,ACY,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,\n,,ADA,AUSCAL,Australia,N
66,Advance Leasing Company,\n,4G,,,United States,N
67,Aztec Worldwide Airlines,\n,7A,,,United States,N
68,Air Tindi,\n,8T,,,Canadian Territories,Y
69,Antonov Airlines,\n,,ADB,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,\n,,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,\n,,ADD,,Japan,N
72,Ada Air,\n,ZY,ADE,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,\n,,ADG,AEREA TRAINING,Spain,N
74,Audeli Air,\n,,ADI,AUDELI,Spain,N
75,Abicar,\n,,ADJ,ABICAR,Ivory Coast,N
76,ADC Airlines,\n,Z7,ADK,ADCO,Nigeria,N
77,Aero Dynamics,\n,,ADL,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,\n,,ADM,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,\n,,ADN,AERODIENST,Germany,N
80,Aerodiplomatic,\n,,ADP,AERODIPLOMATIC,Mexico,N
81,Aerodyne,\n,,ADY,AERODYNE,United States,N
82,Avion Taxi,\n,,ADQ,AIR DATA,Canada,N
83,Adria Airways,\n,JP,ADR,ADRIA,Slovenia,Y
84,Aviones de Sonora,\n,,ADS,SONORAV,Mexico,N
85,Air Dorval,\n,,ADT,AIR DORVAL,Canada,N
86,Airdeal Oy,\n,,ADU,AIRDEAL,Finland,N
87,Advance Air Charters,\n,,ADV,ADVANCE,Canada,N
88,Air Andaman,\n,,ADW,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,\n,,ADX,ANDAX,United States,N
90,Air Europa,\n,UX,AEA,EUROPA,Spain,Y
91,Air Southwest Ltd.,\n,,ASW,AIRSOUTHWEST,Canada,N
92,Air Special,\n,,ASX,AIRSPEC,Czech Republic,N
93,Aero Benin,\n,EM,AEB,AEROBEN,Benin,Y
94,Aerocesar,\n,,AEC, Aerovias Del Cesar,AEROCESAR,N
95,Aerotrans Airlines,\n,,AED,,Russia,N
96,Aegean Airlines,\n,A3,AEE,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,\n,,AEG,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,\n,,AEI,INTERAM,Colombia,N
99,Air Express,\n,,AEJ,KHAKI EXPRESS,Tanzania,N
100,Aerocon,\n,,AEK,AEROCON,Bolivia,N
101,Aero Madrid,\n,,AEM,AEROMADRID,Spain,N
102,Aeroenlaces Nacionales,\n,,AEN,,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,\n,,AEO,AERO OCCIDENTE,Mexico,N
104,Aerotec,\n,,AEP,AEROTEC,Spain,N
105,Air Atlantique,\n,KI,AAG,ATLANTIC,United Kingdom,N
106,Air Europe,\n,PE,AEL,AIR EUROPE,Italy,Y
107,Air Alma,\n,,AAJ,AIR ALMA,Canada,N
108,Air Express,\n,,AEQ,LUNA,Sweden,N
109,Alaska Central Express,\n,KO,AER,ACE AIR,United States,Y
110,ACES Colombia,\n,,AES,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,\n,,AET,AEROTHAI,Thailand,N
112,Astraeus,\n,5W,AEU,FLYSTAR,United Kingdom,Y
113,Aeroventas,\n,,AEV,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,\n,VV,AEW,AEROSVIT,Ukraine,Y
115,Airway Express,\n,,AEX,AVCO,United States,N
116,Air Italy,\n,I9,AEY,AIR ITALY,Italy,Y
117,Aerial Transit Company,\n,,AEZ,AERIAL TRANZ,United States,N
118,Alfa Air,\n,,AFA,BLUE ALFA,Czech Republic,N
119,American Falcon,\n,WK,AFB,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,\n,QQ,UTY,UNITY,Australia,Y
121,Air Universal,\n,,UVS,UNI-LEONE,Sierra Leone,N
122,Auvia Air,\n,,UVT,AUVIA,Indonesia,N
123,African West Air,\n,,AFC,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,\n,,AFE,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,\n,FG,AFG,ARIANA,Afghanistan,Y
126,Air Fecteau,\n,,AFH,FECTO,Canada,N
127,Africaone,\n,,AFI,AFRICAWORLD,Uganda,N
128,Alliance,\n,,AFJ,JAMBO,Uganda,N
129,Africa Air Links,\n,,AFK,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,\n,SU,AFL,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,\n,,AFO,AERO EMPRESA,Mexico,N
132,Air Bosna,\n,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
133,Air Bravo,\n,,BRF,AIR BRAVO,Uganda,N
134,Air Brasd'or,\n,,BRL,BRASD'OR,Canada,N
135,Air 500,\n,,BRM,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,\n,,AFQ,ALBA,Italy,N
137,Air France,\n,AF,AFR,AIRFRANS,France,Y
138,Air Partner,\n,,ACG,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,\n,SB,ACI,AIRCALIN,France,Y
140,Air Caledonia,\n,,ACM,WEST CAL,Canada,N
141,Air Guam,\n,,AGM,AIR GUAM,United States,N
142,Air Gabon,\n,GN,AGN,GOLF NOVEMBER,Gabon,N
143,Air Data,\n,,AFS,,United Kingdom,N
144,Air Afrique Vacancies,\n,,AFV,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,\n,,MVM,PEGASUS,United States,N
146,Air Salone,\n,2O,,,Sierra Leone,Y
147,Air-Angol,\n,,NGO,AIR ANGOL,Angola,N
148,Air Nigeria,\n,,NGP,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,\n,2Q,SNC,NIGHT CARGO,United States,Y
150,Air Samarkand,\n,,SND,ARSAM,Uzbekistan,N
151,Air Senegal International,\n,V7,SNG,AIR SENEGAL,Senegal,N
152,Air Sandy,\n,,SNY,AIR SANDY,Canada,N
153,Air Namibia,\n,SW,NMB,NAMIBIA,Namibia,Y
154,Air Intersalonika,\n,,NSK,INTERSALONIKA,Greece,N
155,Air Anatolia,\n,,NTL,AIR ANATOLIA,Turkey,N
156,Air Saigon,\n,,SGA,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,\n,,AFW,AFRAIR,Ivory Coast,N
158,Airfreight Express,\n,,AFX, ,United Kingdom,N
159,Africa Chartered Services,\n,,AFY,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,\n,,AFZ,AFREIGHT,Zambia,N
161,Aeronaves Del Centro,\n,,AGA,,Venezuela,N
162,Air Service Gabon,\n,G8,AGB,,Gabon,N
163,Arab Agricultural Aviation Company,\n,,AGC,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,\n,,AGF,ATLANTIC GULF,United States,N
165,Aerolitoral,\n,5D,SLI,COSTERA,Mexico,Y
166,Algoma Airways,\n,,AGG,ALGOMA,Canada,N
167,Altagna,\n,,AGH,ALTAGNA,France,N
168,Angola Air Charter,\n,,AGO,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,\n,,AGO,ANGOLA CHARTER,Angola,N
170,AERFI Group,\n,,AGP,AIR TARA,Ireland,N
171,Aerogala,\n,,AGQ,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,\n,1A,AGT,AMADEUS,Spain,N
173,Angara Airlines,\n,,AGU,SARMA,Russia,N
174,Air Glaciers,\n,7T,AGV,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,\n,,AGW,AERO GAMBIA,Gambia,N
176,Aviogenex,\n,,AGX,GENEX,Serbia,Y
177,Atlantic Coast Airlines,\n,,BLR,BLUE RIDGE,United States,N
178,Aero Barloz,\n,,BLZ,AEROLOZ,Mexico,N
179,Aeroper,\n,PL,PLI,Aeroperu,Peru,Y
180,Atlas Blue,\n,8A,BMM,ATLAS BLUE,Morocco,Y
181,Aero Banobras,\n,,BNB,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,\n,,AGY,FLIGHT GROUP,United States,N
183,Agrolet-Mci,\n,,AGZ,AGROLET,Slovakia,N
184,Air Alpha Greenland,\n,GD,AHA,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,\n,,AHC,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,\n,,AHE, Muller & Co.,AIRPORT HELICOPTER,N
187,Aeroservices Corporate,\n,,CJE,BIRD JET,France,N
188,Aspen Helicopters,\n,,AHF,ASPEN,United States,N
189,Aerochago Airlines,\n,,AHG,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,\n,,AHH,AIRHOLD,Ireland,N
191,Air Hong Kong,\n,LD,AHK,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,\n,,AHP,AEROCHIAPAS,Mexico,N
193,Air Adriatic,\n,,AHR,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,\n,,AHS,AIRSAR,Italy,N
195,ABC Air Hungary,\n,,AHU,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,\n,HT,AHW,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,\n,J2,AHY,AZAL,Azerbaijan,Y
198,Avies,\n,U3,AIA,AVIES,Estonia,Y
199,Airbus Industrie,\n,AP,AIB,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,\n,,AIH,ALPINE CHILE,Chile,N
201,Air Integra,\n,,AII,INTEGRA,Canada,N
202,ABC Aerolineas,\n,,AIJ,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,\n,,AIK,AFRICAN AIRLINES,Kenya,N
204,African International Airways,\n,,AIN,FLY CARGO,Swaziland,N
205,Alpine Air Express,\n,5A,AIP,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,\n,,AIU,ALIA,Spain,N
207,Aba Air,\n,,ABP,BAIR,Czech Republic,N
208,Airblue,\n,ED,ABQ,PAKBLUE,Pakistan,Y
209,Airmark Aviation,\n,,THM,THAI AIRMARK,Thailand,N
210,Airlift International,\n,,AIR,AIRLIFT,United States,Y
211,Airest,\n,,AIT, ,Estonia,N
212,Air Baffin,\n,,BFF,AIR BAFFIN,Canada,N
213,Air Bandama,\n,,BDM,BANDAMA,Ivory Coast,N
214,Air Berlin,\n,AB,BER,AIR BERLIN,Germany,Y
215,Air Brousse,\n,,ABT,AIR BROUSSE,Canada,N
216,Air Contractors,\n,AG,ABR,CONTRACT,Ireland,N
217,Air Illinois,\n,,AIL,AIR ILLINOIS,United States,N
218,Air India Limited,\n,AI,AIC,AIRINDIA,India,Y
219,Air Inter Gabon,\n,,AIG, ,Gabon,N
220,Air Bourbon,\n,ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,\n,CC,ABD,ATLANTA,Iceland,Y
222,Air Inuit,\n,,AIE,AIR INUIT,Canada,N
223,Air Sureste,\n,,AIS,SURESTE,Spain,N
224,Air Srpska,\n,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
225,Air Tahiti Nui,\n,TN,THT,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,\n,,AIV,AIRVIAS,Brazil,N
227,Aero Services Executive,\n,W4,BES,BIRD EXPRESS,France,N
228,Atlantic Island Airways,\n,,AIW,TARTAN,Canada,N
229,Aircruising Australia,\n,,AIX,CRUISER,Australia,N
230,Aircrew Check and Training Australia,\n,,AIY,AIRCREW,Australia,N
231,Arkia Israel Airlines,\n,IZ,AIZ,ARKIA,Israel,Y
232,A J Services,\n,,AJA,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,\n,,AJB,AERO JBR,Mexico,N
234,Aero Jet Express,\n,,AJE,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,\n,,AJF,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,\n,,AJI,AMERISTAR,United States,N
237,A2 Jet Leasing,\n,,AJJ,ATLANTIC JET,United States,N
238,Allied Air,\n,,AJK,BAMBI,Nigeria,N
239,Air Jamaica,\n,JM,AJM,JAMAICA,Jamaica,Y
240,Air One,\n,AP,ADH,HERON,Italy,Y
241,Air Sahara,\n,S2,RSH,SAHARA,India,Y
242,Air Malta,\n,KM,AMC,AIR MALTA,Malta,Y
243,Aeroejecutivo,\n,,AJO,AEROEXO,Mexico,N
244,Aero Jets Corporativos,\n,,AJP,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,\n,,AJS,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,\n,M6,AJT,AMERIJET,United States,N
247,Air Jetsul,\n,,AJU,AIRJETSUL,Portugal,N
248,ANA & JP Express,\n,,AJV,AYJAY CARGO,Japan,N
249,Alpha Jet International,\n,,AJW,ALPHAJET,United States,N
250,Air Japan,\n,NQ,AJX,AIR JAPAN,Japan,Y
251,Ajet,\n,,AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,\n,,AKA,,Republic of Korea,Y
253,Air Livonia,\n,,LIV,LIVONIA,Estonia,N
254,Air BC,\n,,ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,\n,,ABN, ,Senegal,N
256,Air Jamahiriya Company,\n,,LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,\n,,AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,\n,,AKC,ARCA,Colombia,N
259,Anikay Air Company,\n,,AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,\n,,AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,\n,,MNI,AEROMIL,Mexico,N
262,Aklak Air,\n,,AKK,AKLAK,Canada,N
263,Air Kiribati,\n,4A,AKL,,Kiribati,Y
264,Alkan Air,\n,,AKN,ALKAN AIR,Canada,N
265,Angkor Airways,\n,,AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,\n,EH,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,\n,,AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,\n,,ALB,ALBATROS,Mexico,N
269,Albion Aviation,\n,,ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,\n,,ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),\n,,ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,\n,,BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,\n,,FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,\n,,DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,\n,,CAA,Chandler,United States,N
276,ACM Air Charter,\n,,BVR,BAVARIAN,Germany,N
277,Air Logistics,\n,,ALG,AIRLOG,United States,N
278,Aerovallarta,\n,,ALL,VALLARTA,Mexico,N
279,Air ALM,\n,,ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,\n,,ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,\n,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,\n,ZW,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,\n,,TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,\n,,TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,\n,,TMP,TEMPE,United States,N
286,Tatarstan Airlines,\n,U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,\n,,ALO,ALLEGHENY,United States,Y
288,Alpliner AG,\n,,ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),\n,,ALQ,ALTAIR,Canada,N
290,Air Luxor STP,\n,,ALU,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,\n,,ALV,ALVEN,Venezuela,N
292,Alas Nacionales,\n,,ALW, S.A.,ALNACIONAL,N
293,Alyeska Air Service,\n,,ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,\n,,ALZ, ,Canada,N
295,Air Sunshine,\n,,RSI,AIR SUNSHINE,United States,Y
296,ATMA,\n,,AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,\n,,AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,\n,,AMF,AMFLIGHT,United States,N
299,Air Libert,\n,VD,,,France,Y
300,Air Lithuania,\n,TT,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,\n,,AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,\n,,AMH,MANN,United Kingdom,N
303,Air Maldives,\n,,AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,\n,,AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,\n,,AMK,AMER AIR,Austria,N
306,Air Malawi,\n,QM,AML,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,\n,,AMM,AEROM,Moldova,N
308,Air Montenegro,\n,,AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),\n,,AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),\n,,AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,\n,,AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,\n,BM,,,Italy,Y
313,Air Specialties Corporation,\n,,AMR,AIR AM,United States,N
314,Air Muskoka,\n,,AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,\n,,AMT,AMTRAN,United States,Y
316,Air Macau,\n,NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,\n,,AMV,,Egypt,Y
318,Air Midwest,\n,ZV,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,\n,HM,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,\n,,SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,\n,AM,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,\n,,AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,\n,,AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,\n,,ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,\n,,ANC,ANGLO,United Kingdom,N
327,Air Nostrum,\n,YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,\n,PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,\n,G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,\n,AC,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,\n,,BRP,AEROBRA,Russia,N
332,Air Wings,\n,,BSB,ARBAS,Moldova,N
333,Air Baltic,\n,BT,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,\n,,ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,\n,,ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,\n,EL,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,\n,,ANM, Maintenance & Service GmbH,ANTARES,N
338,Airnorth,\n,TL,ANO,TOPEND,Australia,Y
339,Aerol,\n,,ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,\n,,ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,\n,4N,ANT,AIR NORTH,Canada,Y
342,Air Nevada,\n,,ANV,AIR NEVADA,United States,N
343,AOM French Airlines,\n,IW,AOM,French Lines,France,N
344,Aviacion Del Noroeste,\n,,ANW, S.A. de C.V.,AVINOR,N
345,Air New Zealand,\n,NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,\n,,SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,\n,,EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,\n,,AOA, S.A. de C.V.,ALCON,N
349,AVCOM,\n,J6,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,\n,,AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,\n,,AOE, ,Italy,N
352,Atair Pty Ltd.,\n,,AOF,ATAIR,South Africa,N
353,Aero VIP,\n,2D,AOG,AVIP,Argentina,N
354,Aeromundo Ejecutivo,\n,,MUN,AEROMUNDO,Mexico,N
355,Aerolinea Muri,\n,,MUR,MURI,Mexico,N
356,Astoria,\n,,AOI, Inc.,ASTORIA,N
357,Aero Rent JSC,\n,,NRO,AEROMASTER,Russia,N
358,Aeronord-Grup,\n,,NRP,AERONORD,Moldova,N
359,Aeroatlantico Colombia,\n,,AOK,,Colombia,N
360,Angkor Airlines,\n,,AOL,ANGKOR AIR,Cambodia,N
361,Aero Entreprise,\n,,AON,AERO ENTERPRISE,France,N
362,As,\n,,AOO, Opened Joint Stock Company,COMPANY AS,N
363,Aeropiloto,\n,,AOP,AEROPILOTO,Portugal,N
364,Aeroenlaces Nacionales,\n,,VIV,AEROENLACES,Mexico,N
365,Aerovis Airlines,\n,,VIZ,AEROVIZ,Ukraine,N
366,Avjet International (FZE),\n,,VJE,,United Arab Emirates,N
367,Aerovista Gulf Express,\n,,VGF,VISTA GULF,United Arab Emirates,N
368,Air Vegas,\n,6V,VGA,AIR VEGAS,United States,N
369,Almaver,\n,,VER,ALMAVER,Mexico,N
370,Afro International Ent. Limited,\n,,AOR,INTER-AFRO,Nigeria,N
371,Alitalia Express,\n,XM,SMX,ALIEXPRESS,Italy,Y
372,Asia Overnight Express,\n,OE,AOT,ASIA OVERNIGHT,Philippines,N
373,Air Tractor,\n,,AOU,AIR TRACTOR,Croatia,N
374,Aero Vision,\n,,AOV,AEROVISION,France,N
375,Aerotaxi Del Valle,\n,,AOX,AEROVALLE,Colombia,N
376,Air Park Aviation Ltd.,\n,,APA,CAN-AM,Canada,N
377,Airpac Airlines,\n,,APC, Inc.,AIRPAC,N
378,Aeroservicios Monterrey,\n,,SVM,SERVIMONTE,Mexico,N
379,Amapola Flyg AB,\n,,APF,AMAPOLA,Sweden,N
380,Air People International,\n,,APG,AIR PEOPLE,Thailand,N
381,Alpha Aviation,\n,,APH, Inc.,AIRFLIGHT,N
382,ASA Pesada,\n,,API, Lda.,ASA PESADA,N
383,Air Print,\n,,APJ, S.A.,AIR PRINT,N
384,Atlantic Airlines,\n,,BJK,BLACKJACK,United States,N
385,Aerotransporte Petrolero,\n,,PET,AEROPETRO,Colombia,N
386,Aero Flight,\n,GV,ARF,Aero Fox,Germany,Y
387,ACM Aviation,\n,,BJT,BAY JET,United States,N
388,Aircompany Barcol,\n,,BKL,BARCOL,Russia,N
389,All Charter Limited,\n,,BLA,ALL CHARTER,United Kingdom,N
390,Appalachian Flying Service,\n,,APL, Inc.,APPALACHIAN,N
391,Airpac,\n,,APM, Inc.,ALASKA PACIFIC,N
392,Aeropro,\n,,APO,AEROPRO,Canada,N
393,Aerolineas Pacifico Atlantico,\n,,APP, S.A. (Apair),AEROPERLAS,N
394,Aspen Aviation,\n,,APQ,ASPEN BASE,United States,N
395,Aeropuma,\n,,APU, S.A.,AEROPUMA,N
396,Air Plan International,\n,,APV,AIR PLAN,Democratic Republic of the Congo,N
397,Arrow Air,\n,JW,APW,BIG A,United States,Y
398,Apex Air Cargo,\n,,APX,PARCEL EXPRESS,United States,N
399,APA Internacional,\n,,APY,APA INTERNACIONAL,Dominican Republic,N
400,Aeroatlas,\n,,AQA, S.A.,ATCO,N
401,Aquila Air Ltd.,\n,,AQL,AQUILA,Canada,N
402,Air Queensland,\n,,AQN,BUSHAIR,Australia,N
403,Aluminum Company Of America,\n,,AQO,ALCOA SHUTTLE,United States,N
